time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
2000-01-01,-123.13,49.29,1298.25,1628.40,2012.24,1304.84,1630.97,2015.82,1296.18,1633.18,2009.33
2001-01-01,-123.13,49.29,1170.72,1459.26,1949.87,1180.00,1456.86,1953.33,1176.25,1462.20,1933.97
2002-01-01,-123.13,49.29,1460.35,1623.54,1974.91,1464.22,1604.31,1944.16,1460.34,1610.37,1936.99
2003-01-01,-123.13,49.29,1363.81,1552.46,1826.29,1356.71,1555.86,1822.79,1364.55,1554.76,1827.81
2004-01-01,-123.13,49.29,1085.75,1492.20,1727.61,1084.95,1492.67,1742.12,1089.66,1492.57,1729.57
2005-01-01,-123.13,49.29,1261.74,1604.17,1923.64,1271.57,1584.02,1922.19,1264.18,1598.01,1940.75
2006-01-01,-123.13,49.29,1235.54,1469.16,1923.09,1274.23,1523.43,1893.00,1367.49,1635.29,1926.38
2007-01-01,-123.13,49.29,1293.45,1511.78,1963.04,1268.72,1521.56,2097.37,1229.08,1510.48,1830.83
2008-01-01,-123.13,49.29,1285.71,1594.14,1890.45,1229.48,1517.17,1764.12,1125.88,1488.67,1967.72
2009-01-01,-123.13,49.29,1245.74,1659.09,1875.60,1304.58,1555.26,1758.49,1232.36,1561.98,1850.51
2010-01-01,-123.13,49.29,1360.37,1547.56,1803.84,1233.77,1565.21,1803.41,1274.49,1528.58,1893.73
2011-01-01,-123.13,49.29,1317.64,1474.80,1701.28,1463.09,1748.30,1909.42,1238.28,1583.00,1828.24
2012-01-01,-123.13,49.29,1392.55,1587.83,1826.24,1234.52,1604.70,1907.58,1405.55,1596.81,1976.05
2013-01-01,-123.13,49.29,1345.59,1518.54,1875.33,1217.46,1486.16,1794.87,1289.58,1525.41,1802.78
